Name,Region,GENC,Year,Population,Total Fertility Rate,Crude Birth Rate,"Life Expectancy at Birth, Both Sexes",Crude Death Rate,Net Migration Rate,"Net international migrants, both sexes"
,,,,,,,,,,
China,"2017,China",CN,2017,"1,389,787,047",1.62,12.3,77.3,7,-0.1,"-192,000"
India,"2017,India",IN,2017,"1,327,127,431",2.21,17.8,70.6,6.7,-0.2,"-263,314"
United States,"2017,United States",US,2017,"325,122,128",2,11.9,70,8.7,2.5,"827,150"
Indonesia,"2017,Indonesia",ID,2017,"265,708,968",2.19,17,71.7,6.8,-1,"-258,506"
Pakistan,"2017,Pakistan",PK,2017,"219,176,700",3.83,29,68.1,6.5,-1,"-207,835"
Brazil,"2017,Brazil",BR,2017,"209,969,058",1.78,14.4,75.7,6.1,-0.1,"-23,334"
Nigeria,"2017,Nigeria",NG,2017,"198,312,085",4.92,35.5,58.7,9.9,-0.2,"-41,578"
Russia,"2017,Russia",RU,2017,"144,157,561",1.62,10.8,72.4,12.4,2,"285,104"
Japan,"2017,Japan",JP,2017,"126,215,286",1.43,7.8,84.1,10.7,0.8,"94,438"
Mexico,"2017,Mexico",MX,2017,"124,883,590",1.99,16.7,74.8,5.7,-0.8,"-93,823"
Philippines,"2017,Philippines",PH,2017,"104,862,154",2.79,22.3,70.8,5.7,-1.1,"-112,461"
Ethiopia,"2017,Ethiopia",ET,2017,"99,977,612",4.35,33.1,66.1,6.5,0.8,"77,063"
Vietnam,"2017,Vietnam",VN,2017,"98,482,273",2.04,17.1,74.6,5.7,-0.3,"-27,000"
Egypt,"2017,Egypt",EG,2017,"97,583,808",3.59,28.3,73.1,4.5,-0.2,"-15,978"
Congo (Kinshasa),"2017,Congo (Kinshasa)",CD,2017,"92,453,955",5.96,42.3,59.5,9.2,-0.6,"-53,200"
,,,,,,,,,,
China,"2018,China",CN,2018,"1,395,959,772",1.47,10.9,77.5,7.1,-0.1,"-186,000"
India,"2018,India",IN,2018,"1,341,470,939",2.15,17.3,71.2,6.6,-0.2,"-263,783"
United States,"2018,United States",US,2018,"326,838,199",2,11.6,70,8.7,2,"651,793"
